carcaca,quadro,eixo_mm,comprimento_mm,corpo_mm,pe_mm,n5_mm,cv_min,cv_max,fonte
90L,90,90,399,140,20.0,164,3,4,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
90S,90,90,374,140,20.0,164,1,3,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
100L,100,100,425,160,20.0,188,4,5,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
112M,112,112,442,190,17.0,220,6,7.5,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
132M,132,132,519,216,24.0,248,12.5,15,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
132M/L,132,132,544,216,24.0,248,15,15,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
132S,132,132,481,216,24.0,248,7.5,10,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
160M,160,160,622,254,33.0,308,20,25,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
180M,180,180,688,279,40.5,350,25,30,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
200L,200,200,791,318,41.0,385,50,50,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
200M,200,200,753,318,41.0,385,40,40,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
225S/M,225,225,880,356,47.0,436,60,60,KSB Megabloc manual tecnico A2744.0.3P/2 - colunas que dependem so da carcaca
